epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,905.919,0.8128,0.49437,0.90634,0.8739,0.84848,0.91113,0.60299,1.2582,0.79214,1.14523,0.0005942,0.0005942,0.0005942
73,916.688,0.81178,0.52235,0.91247,0.92455,0.81818,0.91242,0.60891,1.24534,0.76106,1.15726,0.0005744,0.0005744,0.0005744
74,926.673,0.82904,0.51878,0.90909,0.89731,0.84848,0.92095,0.61808,1.26757,0.7381,1.1476,0.0005546,0.0005546,0.0005546
75,936.651,0.83441,0.52588,0.91934,0.89995,0.84848,0.9298,0.63402,1.20772,0.70767,1.12064,0.0005348,0.0005348,0.0005348
76,946.649,0.79365,0.51684,0.89204,0.89828,0.84848,0.92307,0.60512,1.21233,0.74122,1.12448,0.000515,0.000515,0.000515
77,956.536,0.7706,0.48198,0.89232,0.90314,0.84768,0.9146,0.61517,1.18712,0.77955,1.11984,0.0004952,0.0004952,0.0004952
78,967.607,0.71388,0.48222,0.90055,0.86986,0.84848,0.9048,0.61717,1.16209,0.82781,1.13299,0.0004754,0.0004754,0.0004754
79,978.637,0.7601,0.48046,0.88956,0.87292,0.84848,0.89912,0.64034,1.15089,0.82099,1.11953,0.0004556,0.0004556,0.0004556
80,988.543,0.73453,0.46182,0.89204,0.90206,0.84848,0.91015,0.62791,1.18442,0.82302,1.13012,0.0004358,0.0004358,0.0004358
81,999.278,0.75318,0.49302,0.89211,0.90162,0.84848,0.90684,0.61156,1.22856,0.85805,1.14755,0.000416,0.000416,0.000416
82,1008.66,0.76463,0.47841,0.89205,0.8978,0.84848,0.88226,0.59415,1.23679,0.91379,1.14782,0.0003962,0.0003962,0.0003962
83,1018.85,0.72466,0.45147,0.88554,0.92914,0.81818,0.88341,0.58988,1.24282,0.88203,1.14178,0.0003764,0.0003764,0.0003764
84,1029.64,0.75396,0.47173,0.89097,0.93307,0.84506,0.8863,0.60106,1.26001,0.87188,1.15104,0.0003566,0.0003566,0.0003566
85,1041.48,0.74904,0.46205,0.87371,0.93302,0.84436,0.89066,0.6098,1.24278,0.83695,1.1507,0.0003368,0.0003368,0.0003368
86,1052.37,0.74354,0.4616,0.89589,0.90162,0.84848,0.8974,0.61168,1.24427,0.81125,1.15931,0.000317,0.000317,0.000317
87,1062.49,0.75081,0.45682,0.91363,0.90282,0.84848,0.89946,0.62177,1.24672,0.81048,1.15109,0.0002972,0.0002972,0.0002972
88,1073.41,0.73761,0.4695,0.90858,0.90316,0.84788,0.89663,0.60478,1.22059,0.81756,1.13123,0.0002774,0.0002774,0.0002774
89,1083.31,0.7217,0.46005,0.88171,0.90282,0.84471,0.89216,0.60588,1.20429,0.82554,1.11906,0.0002576,0.0002576,0.0002576
