epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/bib,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
9,109,,,,,,,,,,,,,,,,,,0.6525650024414062,0.920634925365448,0.9019773602485657,0.6581019759178162,0.7696969509124756,3.173689126968384,0.9030207395553589,0.6525650024414062,0.8240278959274292,0.7666666507720947,0.9666666388511658,0.8787878751754761
9,109,3559.3466796875,3452.022705078125,2567.3125,0.22399382293224335,3.0495827198028564,0.01632530242204666,0.01604146510362625,0.01859688200056553,0.47355955839157104,0.5967715382575989,0.5326249599456787,0.1999349147081375,0.18562449514865875,0.21034494042396545,,,,,,,,,,,,,,,
10,120,,,,,,,,,,,,,,,,,,0.6672961115837097,0.920634925365448,0.9191141128540039,0.6626471281051636,0.7757575511932373,3.170795202255249,0.9218343496322632,0.6672961115837097,0.7732504606246948,0.7666666507720947,0.9666666388511658,0.8787878751754761
10,120,3571.261474609375,3407.948974609375,2575.113525390625,0.05341772735118866,2.7276673316955566,0.01423303410410881,0.014582464471459389,0.01483080442994833,0.4519354999065399,0.5659040212631226,0.49226143956184387,0.1633063554763794,0.1675107628107071,0.16885030269622803,,,,,,,,,,,,,,,
11,131,,,,,,,,,,,,,,,,,,0.6784365177154541,0.920634925365448,0.9178566336631775,0.6827614307403564,0.7818182110786438,3.1820969581604004,0.9233098030090332,0.6784365177154541,0.8254989385604858,0.7696969509124756,0.9666666388511658,0.8787878751754761
11,131,3495.994384765625,3346.2841796875,2503.2158203125,0.19012121856212616,2.8803932666778564,0.014669728465378284,0.015552591532468796,0.015873171389102936,0.4686509966850281,0.5961447954177856,0.4892575442790985,0.17686961591243744,0.18536065518856049,0.1857011318206787,,,,,,,,,,,,,,,
12,142,,,,,,,,,,,,,,,,,,0.6717022061347961,0.9032257795333862,0.9161601662635803,0.6869720220565796,0.7666666507720947,3.2413992881774902,0.9090490937232971,0.6717022061347961,0.7946833968162537,0.7636363506317139,0.9655172228813171,0.8484848737716675
12,142,3578.7216796875,3442.676025390625,2866.130615234375,0.044272854924201965,2.6351797580718994,0.01394649688154459,0.014542973600327969,0.013995549641549587,0.42848023772239685,0.5595384240150452,0.4581252336502075,0.1648116409778595,0.16210228204727173,0.16139166057109833,,,,,,,,,,,,,,,
13,149,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
13,153,,,,,,,,,,,,,,,,,,0.6470180153846741,0.89552241563797,0.9187096953392029,0.6746431589126587,0.7727272510528564,3.3703463077545166,0.9165562391281128,0.6470180153846741,0.7674822807312012,0.7454545497894287,0.8823529481887817,0.9090909361839294
13,153,3653.89208984375,3511.82958984375,3033.744384765625,0.014567635022103786,2.5157470703125,0.012761306948959827,0.01244629081338644,0.014660660177469254,0.4081408679485321,0.510649561882019,0.4586420953273773,0.15017937123775482,0.14918553829193115,0.17012178897857666,,,,,,,,,,,,,,,
14,164,,,,,,,,,,,,,,,,,,0.6471260190010071,0.920634925365448,0.9185563921928406,0.6613448858261108,0.7424242496490479,3.316851854324341,0.9274789094924927,0.6471260190010071,0.7622349858283997,0.7484848499298096,0.9666666388511658,0.8787878751754761
14,164,3549.102294921875,3415.7841796875,2914.3125,0.045029379427433014,2.6678521633148193,0.015334687195718288,0.014575433917343616,0.01521865651011467,0.4317910969257355,0.5332350134849548,0.4608234465122223,0.16762174665927887,0.16789808869361877,0.1726592630147934,,,,,,,,,,,,,,,
15,175,,,,,,,,,,,,,,,,,,0.6433311104774475,0.9354838728904724,0.9306451082229614,0.6685747504234314,0.760606050491333,3.2507522106170654,0.9323539733886719,0.6433311104774475,0.7633236646652222,0.7454545497894287,1.0,0.8787878751754761
15,175,3538.988525390625,3492.443115234375,2896.414794921875,0.3724767565727234,2.850241184234619,0.017078734934329987,0.017189722508192062,0.01669769547879696,0.4503103196620941,0.5304412245750427,0.4679311513900757,0.19295348227024078,0.19088968634605408,0.18952074646949768,,,,,,,,,,,,,,,
16,186,,,,,,,,,,,,,,,,,,0.6681413650512695,0.920634925365448,0.9227062463760376,0.6833798289299011,0.760606050491333,3.1421303749084473,0.926085352897644,0.6681413650512695,0.8051556944847107,0.760606050491333,0.9666666388511658,0.8787878751754761
16,186,3563.375,3494.102294921875,2935.5966796875,-1.3871626833861228e-06,2.8425590991973877,0.016201717779040337,0.01658722758293152,0.01599123701453209,0.46858227252960205,0.5564064383506775,0.46372345089912415,0.18549948930740356,0.18483462929725647,0.18463873863220215,,,,,,,,,,,,,,,
17,197,,,,,,,,,,,,,,,,,,0.6618741750717163,0.9354838728904724,0.9246001243591309,0.6644625663757324,0.7454545497894287,3.10433292388916,0.9261065721511841,0.6618741750717163,0.7937411665916443,0.7363636493682861,1.0,0.8787878751754761
17,197,3707.164794921875,3547.852294921875,3264.886474609375,-1.2137672911194386e-06,2.288099527359009,0.01156619843095541,0.011625601910054684,0.01335053239017725,0.3865809440612793,0.4492368698120117,0.4247727394104004,0.13540521264076233,0.13606812059879303,0.1509253978729248,,,,,,,,,,,,,,,
18,199,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
18,208,,,,,,,,,,,,,,,,,,0.6696562170982361,0.9180327653884888,0.9278406500816345,0.6777610778808594,0.7636363506317139,3.0946946144104004,0.9228744506835938,0.6696562170982361,0.807730495929718,0.7575757503509521,1.0,0.8484848737716675
18,208,3481.352294921875,3445.039794921875,2916.369384765625,0.14397187530994415,2.935098171234131,0.016855966299772263,0.017791135236620903,0.016389183700084686,0.47829172015190125,0.5887007713317871,0.468178927898407,0.18798218667507172,0.19803005456924438,0.18636050820350647,,,,,,,,,,,,,,,
19,219,,,,,,,,,,,,,,,,,,0.6704824566841125,0.9180327653884888,0.9161738753318787,0.6820945143699646,0.7696969509124756,3.3523850440979004,0.9046133756637573,0.6704824566841125,0.8205196261405945,0.7575757503509521,1.0,0.8484848737716675
